Player;_x;Apps_x;Mins_x;Goals_x;Assists_x;Yel;Red;SpG_x;PS%_x;AerialsWon;MotM;Rating_x;_y;Apps_y;Mins_y;Tackles;Inter;Fouls;Offsides;Clear;Drb_x;Blocks;OwnG;Rating_y;_x;Apps_x;Mins_x;Goals_y;Assists_y;SpG_y;KeyP_x;Drb_y;Fouled;Off;Disp;UnsTch;Rating_x;_y;Apps_y;Mins_y;Assists;KeyP_y;AvgP;PS%_y;Crosses;LongB;ThrB;Rating_y
"63
Unai Núñez
Celta Vigo, 27, D(C)";;25(1);2295;1;-;4;-;0.8;76.7;2.8;-;6.85;;25(1);2295;1.4;1.8;1;0.5;5;0.7;0.8;-;6.85;;25(1);2295;1;-;0.8;0.3;0.3;0.8;-;0.1;0.8;6.85;;25(1);2295;-;0.3;48.2;76.7;-;3.7;0.1;6.85
"64
David López
Girona, 34, D(C),DMC";;16;1265;2;-;3;-;0.6;91.8;1.4;-;6.85;;16;1265;1.5;0.9;0.6;0.3;2.5;0.2;0.8;-;6.85;;16;1265;2;-;0.6;0.2;0.3;0.8;0.1;0.1;0.6;6.85;;16;1265;-;0.2;62.8;91.8;-;1.5;-;6.85
"65
Jørgen Strand Larsen
Celta Vigo, 24, FW";;26;2071;9;2;4;-;2.2;70;2.3;1;6.84;;26;2071;0.5;0.1;1.9;-;0.5;0.8;-;-;6.84;;26;2071;9;2;2.2;0.7;1;1.3;0.7;1.4;3.3;6.84;;26;2071;2;0.7;15.9;70;0.1;0.4;-;6.84
"66
Renato Tapia
Celta Vigo, 28, D(C),DMC";;14(4);1222;-;-;3;1;1;75.9;2.2;1;6.84;;14(4);1222;2;0.9;1.2;-;2.4;0.6;0.4;-;6.84;;14(4);1222;-;-;1;0.3;1.5;1.4;0.1;0.6;1.1;6.84;;14(4);1222;-;0.3;34.1;75.9;0.1;2.8;0.1;6.84
"67
Lucas Boyé
Granada, 28, AM(L),FW";;17(1);1446;3;3;5;1;1.7;75.5;1.6;-;6.84;;17(1);1446;1.8;0.2;2.6;0.1;1.6;0.6;0.2;-;6.84;;17(1);1446;3;3;1.7;1.1;1.9;1.5;0.2;2.4;3.3;6.84;;17(1);1446;3;1.1;18.1;75.5;0.1;0.6;-;6.84
"68
Jonathan Bamba
Celta Vigo, 27, AM(CLR),FW";;17(1);1418;2;1;-;-;1.7;79.5;0.3;-;6.84;;17(1);1418;0.6;0.6;0.5;-;0.3;0.6;-;-;6.84;;17(1);1418;2;1;1.7;1.4;1.9;2.5;0.3;1.1;1.8;6.84;;17(1);1418;1;1.4;26.6;79.5;0.6;0.2;0.1;6.84
"69
Nemanja Maksimovic
Getafe, 29, M(C)";;25;2208;3;-;3;-;1;81.2;2.2;2;6.83;;25;2208;1.8;1.4;0.6;0.1;1.8;0.4;0.8;-;6.83;;25;2208;3;-;1;0.2;0.1;0.3;-;0.2;0.6;6.83;;25;2208;-;0.2;28.6;81.2;-;0.5;-;6.83
"70
Luka Modric
Real Madrid, 38, M(C)";;11(10);1033;2;4;1;-;0.7;90.5;0.2;2;6.83;;11(10);1033;0.6;0.5;0.7;-;0.2;0.3;0.1;-;6.83;;11(10);1033;2;4;0.7;1.6;0.5;0.7;0.1;0.7;0.3;6.83;;11(10);1033;4;1.6;42.2;90.5;0.6;3;0.1;6.83
"71
Álex Baena
Villarreal, 22, AM(CL),FW";;23;1751;1;8;8;1;2.2;79.3;0.3;1;6.82;;23;1751;0.8;0.3;1.7;-;0.3;0.8;0.1;-;6.82;;23;1751;1;8;2.2;2.3;0.6;1.7;0.2;1;1.9;6.82;;23;1751;8;2.3;30.4;79.3;1.7;1.9;0.3;6.82
"72
Saúl Ñíguez
Atletico, 29, D(CL),M(CLR)";;12(13);1133;-;5;6;-;0.5;82;1.6;2;6.82;;12(13);1133;2.2;0.5;1.2;-;1.6;0.6;0.4;-;6.82;;12(13);1133;-;5;0.5;0.5;0.3;0.4;0.1;0.5;0.8;6.82;;12(13);1133;5;0.5;22.5;82;0.2;0.6;0.1;6.82
"73
Daley Blind
Girona, 33, D(CL),DMC,M(L)";;22(1);1982;1;2;5;-;0.5;89.7;1.2;-;6.82;;22(1);1982;1.4;0.7;0.5;0.3;3.6;0.5;0.6;-;6.82;;22(1);1982;1;2;0.5;0.4;0.4;0.3;-;0.1;0.4;6.82;;22(1);1982;2;0.4;72.2;89.7;0.1;2.9;-;6.82
"74
Brahim Díaz
Real Madrid, 24, AM(CLR)";;10(11);910;4;1;-;-;1;86.6;-;2;6.81;;10(11);910;1;0.1;0.7;-;-;0.2;-;-;6.81;;10(11);910;4;1;1;0.8;1.4;1.3;0.2;1.1;1.3;6.81;;10(11);910;1;0.8;19.6;86.6;0.5;0.4;0.1;6.81
"75
José Gayà
Valencia, 28, D(L),M(L)";;19;1537;1;2;2;-;0.5;79;0.5;-;6.80;;19;1537;3.3;0.4;1.1;0.2;1.6;1.2;0.1;-;6.80;;19;1537;1;2;0.5;1.1;0.4;0.4;0.1;0.4;0.6;6.80;;19;1537;2;1.1;36.6;79;0.8;2;0.1;6.80
"76
Brais Méndez
Real Sociedad, 27, AM(CR),FW";;21(3);1866;3;3;6;-;2;80.7;0.8;2;6.80;;21(3);1866;1.4;0.3;1.9;-;0.6;1;0.1;-;6.80;;21(3);1866;3;3;2;1.1;0.7;1.8;0.1;1.1;1.7;6.80;;21(3);1866;3;1.1;35;80.7;0.7;1.5;0.2;6.80
"77
Juan Miranda
Real Betis, 24, D(L)";;12(2);1088;-;1;5;-;0.6;83.1;1;-;6.80;;12(2);1088;1.4;0.7;0.6;0.4;2.6;0.5;0.3;-;6.80;;12(2);1088;-;1;0.6;0.9;0.4;1.4;0.2;0.2;0.7;6.80;;12(2);1088;1;0.9;37.6;83.1;0.6;1.9;-;6.80
"78
Vicente Guaita
Celta Vigo, 37, GK";;16(1);1502;-;-;2;-;-;54.5;0.7;1;6.79;;16(1);1502;0.1;-;-;-;1.3;-;-;-;6.79;;16(1);1502;-;-;-;-;-;0.2;-;-;0.1;6.79;;16(1);1502;-;-;23.5;54.5;-;6.8;-;6.79
"79
Jan Oblak
Atletico, 31, GK";;26;2340;-;-;1;-;-;71;0.2;-;6.79;;26;2340;-;-;-;-;0.6;-;-;-;6.79;;26;2340;-;-;-;-;-;-;-;-;-;6.79;;26;2340;-;-;22;71;-;4.2;-;6.79
"80
Hugo Duro
Valencia, 24, AM(L),FW";;24(1);2084;10;2;2;-;1.9;74.7;1.7;2;6.79;;24(1);2084;0.4;0.2;1.1;-;0.6;0.6;0.1;-;6.79;;24(1);2084;10;2;1.9;0.4;0.4;2.7;0.4;1.2;2.7;6.79;;24(1);2084;2;0.4;15.2;74.7;-;0.1;-;6.79
"81
Íñigo Ruíz de Galarreta
Athletic Club, 30, DMC";;19(1);1535;1;1;4;-;0.4;81.1;1;-;6.79;;19(1);1535;1.7;0.5;2;-;0.7;1;0.1;1;6.79;;19(1);1535;1;1;0.4;0.9;0.7;1.5;-;1.2;0.9;6.79;;19(1);1535;1;0.9;41;81.1;0.8;1.9;0.1;6.79
"82
Unai Simón
Athletic Club, 26, GK";;26;2340;-;-;2;-;-;54.2;0.3;2;6.79;;26;2340;0.1;-;-;-;0.4;-;-;-;6.79;;26;2340;-;-;-;-;-;0.3;-;-;-;6.79;;26;2340;-;-;30.5;54.2;-;7.2;-;6.79
"83
Carl Starfelt
Celta Vigo, 28, D(C)";;19;1618;1;-;2;-;0.5;85.4;2.8;1;6.77;;19;1618;1.3;1.2;0.6;0.3;6.3;0.4;1.2;-;6.77;;19;1618;1;-;0.5;0.1;-;0.4;-;-;0.1;6.77;;19;1618;-;0.1;35.1;85.4;-;1.6;-;6.77
"84
Luis Milla
Getafe, 29, DMC";;13(2);1172;-;1;5;-;0.5;82;1.1;-;6.77;;13(2);1172;2.2;1.3;1.5;-;0.3;0.9;0.1;-;6.77;;13(2);1172;-;1;0.5;0.9;0.6;1.5;-;0.6;0.8;6.77;;13(2);1172;1;0.9;40.8;82;1.5;3.3;-;6.77
"85
Jorge Cuenca
Villarreal, 24, D(C)";;15(5);1470;2;-;5;-;0.8;86;2.8;1;6.77;;15(5);1470;1.5;0.9;1;0.5;4.9;0.4;0.7;-;6.77;;15(5);1470;2;-;0.8;0.1;0.2;0.5;-;0.1;0.3;6.77;;15(5);1470;-;0.1;41;86;0.2;1.5;-;6.77
"86
Mason Greenwood
Getafe, 22, AM(LR),FW";;19(3);1678;5;5;4;1;2.7;80.1;0.2;2;6.76;;19(3);1678;0.3;0.1;1.3;-;0.1;0.4;-;-;6.76;;19(3);1678;5;5;2.7;1;1.6;1;-;1.5;1.7;6.76;;19(3);1678;5;1;25.4;80.1;0.7;1.5;-;6.76
"87
Mika Mármol
Las Palmas, 22, D(C)";;24;2120;-;-;3;1;0.1;89.6;0.9;-;6.76;;24;2120;2;1.1;0.5;1.9;4.7;0.4;0.5;-;6.76;;24;2120;-;-;0.1;0.1;0.6;1;-;0.3;0.5;6.76;;24;2120;-;0.1;70.8;89.6;-;2.2;-;6.76
"88
Luiz Henrique
Real Betis, 23, AM(LR)";;6(8);612;-;3;1;-;1.3;74.6;1.1;1;6.76;;6(8);612;1.1;0.4;0.5;-;0.4;0.4;-;-;6.76;;6(8);612;-;3;1.3;0.8;1.9;1.1;-;1.2;0.9;6.76;;6(8);612;3;0.8;13.2;74.6;0.5;0.5;0.1;6.76
"89
Filip Jørgensen
Villarreal, 21, GK";;26;2340;-;-;2;-;-;76;0.4;3;6.76;;26;2340;0.1;0.1;-;-;0.9;-;-;-;6.76;;26;2340;-;-;-;-;-;0.1;-;-;0.2;6.76;;26;2340;-;-;30.7;76;-;5.2;-;6.76
"90
Diego López
Valencia, 21, AM(LR),FW";;20(3);1680;3;5;2;-;1;66;1.2;1;6.75;;20(3);1680;1.1;0.5;0.7;-;0.3;1.1;-;-;6.75;;20(3);1680;3;5;1;1.3;0.8;1;0.2;0.7;1.8;6.75;;20(3);1680;5;1.3;20.3;66;0.4;0.5;0.1;6.75
"91
Igor Zubeldia
Real Sociedad, 26, D(C),DMC";;23(1);1987;-;2;9;-;0.3;84.3;2.5;-;6.75;;23(1);1987;1.2;1.1;1.4;0.8;3.5;0.3;0.6;-;6.75;;23(1);1987;-;2;0.3;0.4;0.2;0.3;-;0.1;0.3;6.75;;23(1);1987;2;0.4;55.9;84.3;-;3;-;6.75
"92
Yan Couto
Girona, 21, D(R),M(R)";;18(6);1607;1;7;6;-;0.9;84.1;0.2;-;6.75;;18(6);1607;1.4;0.2;1;0.2;0.6;0.7;0.1;-;6.75;;18(6);1607;1;7;0.9;1;1.3;1.2;0.3;1;1.2;6.75;;18(6);1607;7;1;33.8;84.1;0.6;1;-;6.75
"93
David Alaba
Real Madrid, 31, D(CL),M(CL)";;14;1156;-;1;2;-;1;91.5;0.7;-;6.75;;14;1156;0.9;1.1;0.3;0.3;2.4;0.3;0.5;1;6.75;;14;1156;-;1;1;0.7;-;-;-;0.1;0.4;6.75;;14;1156;1;0.7;62.7;91.5;0.1;2.7;0.1;6.75
"94
Guido Rodríguez
Real Betis, 29, DMC";;13(1);1079;1;-;5;-;0.8;87.4;0.6;1;6.74;;13(1);1079;1.6;1.1;1;0.1;1.9;1.1;0.2;-;6.74;;13(1);1079;1;-;0.8;0.2;0.6;1.7;0.1;0.6;0.6;6.74;;13(1);1079;-;0.2;39.6;87.4;-;3.3;-;6.74
"95
Marc-André ter Stegen
Barcelona, 31, GK";;16;1440;-;-;2;-;-;89.6;0.2;1;6.74;;16;1440;-;-;-;-;0.6;-;-;-;6.74;;16;1440;-;-;-;-;-;0.1;-;-;-;6.74;;16;1440;-;-;31.2;89.6;-;5.8;-;6.74
"96
Samú Costa
Mallorca, 23, DMC";;20(5);1781;1;1;4;-;0.7;77.5;2;-;6.73;;20(5);1781;2.8;1.1;2;-;1.9;1.6;0.4;-;6.73;;20(5);1781;1;1;0.7;0.5;0.5;1.6;0.2;0.7;1.4;6.73;;20(5);1781;1;0.5;32;77.5;0.2;2.2;-;6.73
"97
Ronald Araújo
Barcelona, 24, D(CR)";;16(3);1518;1;-;4;-;0.8;89.3;2.5;-;6.73;;16(3);1518;1.1;0.5;1.2;1.1;2.4;0.2;0.5;-;6.73;;16(3);1518;1;-;0.8;0.2;0.4;0.5;-;0.2;0.7;6.73;;16(3);1518;-;0.2;62.4;89.3;0.1;3;0.1;6.73
"98
Joselu
Real Madrid, 33, FW";;10(15);1166;8;2;-;-;2;74.7;1.2;2;6.73;;10(15);1166;0.2;0.2;0.4;-;0.3;0.2;-;-;6.73;;10(15);1166;8;2;2;0.4;0.2;0.4;0.6;0.3;0.8;6.73;;10(15);1166;2;0.4;10.6;74.7;-;0.1;-;6.73
"99
Stefan Savic
Atletico, 33, D(C)";;14(1);1175;-;-;3;1;0.3;85.2;2.2;-;6.73;;14(1);1175;1.2;1.5;1;0.1;2.7;0.8;0.9;-;6.73;;14(1);1175;-;-;0.3;0.1;0.4;0.3;0.1;-;0.2;6.73;;14(1);1175;-;0.1;46.8;85.2;0.1;2.2;-;6.73
"100
Dani Rodríguez
Mallorca, 35, AM(CLR)";;22(3);1900;2;4;7;-;1;76.6;0.7;1;6.72;;22(3);1900;1.5;0.4;1.8;-;0.6;0.8;0.2;-;6.72;;22(3);1900;2;4;1;1.6;1;1.2;0.2;1.8;1.6;6.72;;22(3);1900;4;1.6;22.4;76.6;1.4;0.9;0.1;6.72
"101
Thierry Correia
Valencia, 24, D(R),M(R)";;17(2);1430;-;2;2;1;0.2;76.2;0.5;-;6.72;;17(2);1430;2.3;1.5;1.4;0.4;1.8;0.9;0.4;-;6.72;;17(2);1430;-;2;0.2;0.3;0.8;1.4;0.1;0.3;0.8;6.72;;17(2);1430;2;0.3;36.1;76.2;0.4;2;-;6.72
"102
Chris Ramos
Cadiz, 27, FW";;23(3);1948;5;1;2;-;2;57.5;4.8;2;6.72;;23(3);1948;0.8;0.3;1.8;-;1.4;0.7;0.2;-;6.72;;23(3);1948;5;1;2;0.4;0.5;1.5;0.3;1.5;2.7;6.72;;23(3);1948;1;0.4;13.4;57.5;0.1;0.2;-;6.72
"103
Iván Martín
Girona, 25, M(CR)";;22(3);1824;4;2;3;-;0.6;92.1;0.2;-;6.72;;22(3);1824;1.5;0.4;0.9;-;0.4;1;0.1;-;6.72;;22(3);1824;4;2;0.6;0.8;0.8;1;-;1;1.6;6.72;;22(3);1824;2;0.8;41.6;92.1;-;0.9;-;6.72
"104
Álex Remiro
Real Sociedad, 28, GK";;25;2196;-;-;2;1;-;76.1;0.2;-;6.72;;25;2196;-;-;-;-;1.2;-;-;-;6.72;;25;2196;-;-;-;-;-;0.1;-;-;0.1;6.72;;25;2196;-;-;30.9;76.1;-;6.5;-;6.72
"105
Ander Herrera
Athletic Club, 34, M(C)";;8(9);782;-;2;2;-;0.5;85.8;0.6;-;6.72;;8(9);782;2.2;0.8;0.9;-;0.6;0.8;0.1;-;6.72;;8(9);782;-;2;0.5;0.5;0.3;0.6;-;0.4;0.2;6.72;;8(9);782;2;0.5;31.8;85.8;0.1;1.1;0.1;6.72
"106
Rui Silva
Real Betis, 30, GK";;17;1486;-;-;3;-;-;66;0.3;1;6.71;;17;1486;-;0.1;0.1;-;0.7;0.2;-;-;6.71;;17;1486;-;-;-;-;0.1;0.2;-;-;-;6.71;;17;1486;-;-;30.9;66;-;5.5;-;6.71
"107
Ángel Correa
Atletico, 28, AM(CLR),FW";;6(15);835;7;2;1;-;1.1;80.4;0.2;2;6.71;;6(15);835;0.6;-;0.2;-;-;0.4;-;-;6.71;;6(15);835;7;2;1.1;0.9;0.8;0.8;0.4;1;1.4;6.71;;6(15);835;2;0.9;13.6;80.4;0.1;0.3;-;6.71
"108
Chadi Riad
Real Betis, 20, D(C)";;13(2);1219;-;-;-;-;0.5;88;2;-;6.71;;13(2);1219;1.4;0.7;0.4;0.5;4.3;0.4;0.4;-;6.71;;13(2);1219;-;-;0.5;0.1;-;0.4;0.1;0.1;0.2;6.71;;13(2);1219;-;0.1;43.9;88;-;1.4;-;6.71
"109
Álex Suárez
Las Palmas, 30, D(CR)";;21(1);1789;1;-;5;-;0.2;86.9;1.4;2;6.71;;21(1);1789;1.8;0.6;0.9;0.5;2.7;0.1;0.5;-;6.71;;21(1);1789;1;-;0.2;0.3;0.2;1.1;-;0.4;0.5;6.71;;21(1);1789;-;0.3;45.1;86.9;0.1;2.8;-;6.71
"110
Juanlu Sánchez
Sevilla, 20, D(R)";;10(9);975;-;2;2;-;0.5;84;0.6;-;6.70;;10(9);975;2.4;0.5;0.5;-;1.1;0.8;0.3;-;6.70;;10(9);975;-;2;0.5;0.8;1.1;1.1;0.1;0.2;1.1;6.70;;10(9);975;2;0.8;23.3;84;0.6;0.5;-;6.70
"111
Oihan Sancet
Athletic Club, 23, M(C),FW";;20(4);1622;3;5;1;2;1.5;82.8;0.9;-;6.70;;20(4);1622;0.7;0.3;1.1;-;0.1;0.4;-;-;6.70;;20(4);1622;3;5;1.5;1.5;0.9;1.1;0.1;1.5;2.4;6.70;;20(4);1622;5;1.5;26.5;82.8;0.2;0.7;0.2;6.70
"112
Antonio Rüdiger
Real Madrid, 30, D(CLR)";;21(1);1886;1;-;7;-;0.6;89.5;1.6;-;6.70;;21(1);1886;0.8;0.4;0.9;0.3;2.5;0.2;0.7;-;6.70;;21(1);1886;1;-;0.6;0.2;-;0.2;-;0.1;0.1;6.70;;21(1);1886;-;0.2;55.7;89.5;0.1;2.6;-;6.70
"113
Marc Roca
Real Betis, 27, D(C),DMC";;21(1);1765;2;2;5;-;0.9;84.9;0.5;-;6.70;;21(1);1765;2;0.7;2;0.1;0.8;0.9;0.2;-;6.70;;21(1);1765;2;2;0.9;0.8;0.4;1;-;0.7;0.8;6.70;;21(1);1765;2;0.8;46.9;84.9;0.1;2.7;-;6.70
"114
Robin Le Normand
Real Sociedad, 27, D(C)";;20(1);1760;1;-;9;-;0.2;88.9;3.7;-;6.70;;20(1);1760;1;1.1;1.1;0.6;3;0.5;0.6;1;6.70;;20(1);1760;1;-;0.2;0.1;-;0.6;-;0.2;0.5;6.70;;20(1);1760;-;0.1;57.6;88.9;-;2.7;-;6.70
"115
David García
Osasuna, 30, D(C)";;24;2160;-;1;5;-;0.5;83.5;3.5;1;6.70;;24;2160;1.1;0.7;1.3;1.1;4.6;0.4;0.8;-;6.70;;24;2160;-;1;0.5;0.2;0.1;0.4;-;0.1;0.4;6.70;;24;2160;1;0.2;49.9;83.5;-;3.8;-;6.70
"116
Conan Ledesma
Cadiz, 31, GK";;23;2059;-;-;-;-;-;54.7;0.2;1;6.69;;23;2059;-;-;-;-;1.3;0.1;-;-;6.69;;23;2059;-;-;-;-;-;0.2;-;-;-;6.69;;23;2059;-;-;31.7;54.7;-;9.8;-;6.69
"117
Marcos Llorente
Atletico, 29, D(R),M(CR),FW";;19(7);1694;6;3;3;-;0.7;82.4;0.5;1;6.69;;19(7);1694;0.8;0.4;0.8;0.1;0.8;0.8;0.3;-;6.69;;19(7);1694;6;3;0.7;0.7;0.3;0.7;0.5;0.5;0.7;6.69;;19(7);1694;3;0.7;26.4;82.4;0.4;0.5;-;6.69
"118
Mikel Oyarzabal
Real Sociedad, 26, AM(CLR),FW";;14(8);1383;8;1;2;-;1.3;78.3;1;1;6.69;;14(8);1383;0.8;0.2;0.6;-;0.4;0.5;0.1;-;6.69;;14(8);1383;8;1;1.3;0.6;0.3;0.5;0.5;0.7;1.8;6.69;;14(8);1383;1;0.6;15.3;78.3;-;0.4;-;6.69
"119
Mikel Vesga
Athletic Club, 30, DMC";;14(5);1192;3;1;2;-;0.9;77.7;1.4;-;6.69;;14(5);1192;1.5;1.1;1.2;-;1.4;1.4;0.2;-;6.69;;14(5);1192;3;1;0.9;0.3;0.1;0.2;-;0.4;0.6;6.69;;14(5);1192;1;0.3;32.6;77.7;0.2;1.9;0.1;6.69
"120
Pathé Ciss
Rayo Vallecano, 29, DMC";;11(9);1103;1;-;6;-;0.9;81.8;1.9;1;6.69;;11(9);1103;1.4;1.2;0.9;0.1;1.7;0.4;0.4;-;6.69;;11(9);1103;1;-;0.9;0.4;0.7;1.1;0.1;0.6;0.6;6.69;;11(9);1103;-;0.4;28;81.8;0.1;2.1;-;6.69
"121
Sergi Darder
Mallorca, 30, M(CLR)";;15(9);1537;-;3;3;-;0.8;77.6;0.3;-;6.68;;15(9);1537;1.2;0.6;0.6;-;0.3;0.5;0.2;-;6.68;;15(9);1537;-;3;0.8;1.3;1;1.1;-;0.7;1.5;6.68;;15(9);1537;3;1.3;23.8;77.6;1.4;1.8;0.2;6.68
"122
Eric García
Girona, 23, D(C)";;18;1583;2;-;2;-;0.5;90.7;1.2;-;6.68;;18;1583;1.6;0.9;0.9;0.3;2.6;0.4;0.6;-;6.68;;18;1583;2;-;0.5;0.3;0.2;0.9;0.2;0.2;0.5;6.68;;18;1583;-;0.3;69.1;90.7;0.1;2.9;0.1;6.68
"123
Giorgi Mamardashvili
Valencia, 23, GK";;25;2250;-;-;2;-;-;46.8;0.2;2;6.68;;25;2250;0.1;-;0.1;-;0.9;-;-;-;6.68;;25;2250;-;-;-;-;-;0.1;-;-;0.1;6.68;;25;2250;-;-;24.4;46.8;-;5.2;-;6.68
"124
Lucas Vázquez
Real Madrid, 32, D(R),M(R)";;9(11);918;1;3;-;-;0.4;89;0.2;1;6.68;;9(11);918;1.1;0.4;0.9;0.2;1.2;0.3;0.1;-;6.68;;9(11);918;1;3;0.4;1;0.8;0.9;0.1;0.5;0.6;6.68;;9(11);918;3;1;30.9;89;0.3;0.5;0.1;6.68
"125
Rubén Peña
Osasuna, 32, D(LR),M(LR),FW";;19(1);1510;-;1;2;-;0.6;71;0.7;3;6.68;;19(1);1510;1.8;1.1;1.1;0.2;1.4;1.3;0.2;-;6.68;;19(1);1510;-;1;0.6;0.8;1.4;0.9;0.1;0.9;1.7;6.68;;19(1);1510;1;0.8;27.4;71;0.8;1.4;0.1;6.68
"126
Youssef En-Nesyri
Sevilla, 26, FW";;16(5);1550;7;1;3;-;2;65.2;2.4;2;6.67;;16(5);1550;0.3;0.2;0.6;-;0.5;0.1;-;-;6.67;;16(5);1550;7;1;2;0.2;0.2;0.8;0.9;0.7;1.9;6.67;;16(5);1550;1;0.2;8.5;65.2;-;-;-;6.67
"127
Axel Witsel
Atletico, 35, D(C),M(C)";;21(4);1953;1;-;3;-;0.2;92.9;1.7;1;6.67;;21(4);1953;0.8;0.3;0.6;0.3;3.2;0.2;0.8;-;6.67;;21(4);1953;1;-;0.2;0.1;0.1;0.7;-;0.2;0.5;6.67;;21(4);1953;-;0.1;54.5;92.9;-;1.8;-;6.67
